KOD_FASILITI,NAMA,ALAMAT,POSKOD,NEGERI,DAERAH,STATUS,SEKTOR,KATEGORI_FASILITI,JENIS_FASILITI
21-13190655,KLINIK PERGIGIAN RTC SARAWAK SIBUTI,"BANGUNAN TAMU BARU, MAJLIS DAERAH SUBIS",98150,SARAWAK,MIRI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI RTC
21-13200331,KLINIK PERGIGIAN MUKAH,JALAN. HAJI PAUZI,96400,SARAWAK,MUKAH,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE)
21-13171147,KLINIK PERGIGIAN DARO,"KLINIK PERGIGIAN DARO, D/A HOSPITAL DARO, JALAN ITOL",96200,SARAWAK,MUKAH,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE)
21-13200634,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN DATUK AWANG UDIN,JALAN PAM STESYEN LAMA,96400,SARAWAK,MUKAH,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13200570,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN KG TELLIAN,"D/A PEJABAT PENDIDIKAN DAERAH TELLIAN, JALAN HAJI MOHD FAUZI",96400,SARAWAK,MUKAH,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13200491,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) CHONG BOON,JALAN PANGGUNG,96400,SARAWAK,MUKAH,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13220083D,KLINIK PERGIGIAN DI KLINIK KESIHATAN KOTA SAMARAHAN,JALAN. DATUK MOHD MUSA,94300,SARAWAK,KOTA SAMARAHAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
11-13220638D,KLINIK PERGIGIAN DI PUSAT JANTUNG SARAWAK,"3RD ROUNDABOUT, KUCHING-SAMARAHAN EXPRESSWAY",94300,SARAWAK,KOTA SAMARAHAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
21-13220558,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN DATO TRAOH MUARA TUANG,"JALAN DATUK MOHD. MUSA, KPG MUARA TUANG",94300,SARAWAK,KOTA SAMARAHAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13220623,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN MUARA TUANG,"KM 9, JALAN DATO MOHD MUSA",94300,SARAWAK,KOTA SAMARAHAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH
11-13230031D,KLINIK PERGIGIAN DI HOSPITAL SARATOK,KM 1 JALAN SARATOK,95400,SARAWAK,SARATOK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
21-13230539,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ABANG LEMAN,JALAN SUNGAI ENDOT,95407,SARAWAK,SARATOK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13230537,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ABANG ABDUL RAHMAN,JALAN MAJLIS DAERAH BARU,95407,SARAWAK,SARATOK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13230517,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) MIN SYN SARATOK,JALAN MARKET SEDC,95407,SARAWAK,SARATOK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13240182D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SARIKEI,JALAN HOSPITAL LAMA,96100,SARAWAK,SARIKEI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
11-13240032D,KLINIK PERGIGIAN DI HOSPITAL SARIKEI,"JALAN HOSPITAL, OFF JALAN RENTAP",96100,SARAWAK,SARIKEI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
21-13240593,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ST ANNE,JALAN REPOK,96100,SARAWAK,SARIKEI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13240578,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN METHODIST ANGLO-CHINESE,JALAN HAJI KARIM,96100,SARAWAK,SARIKEI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13240536,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ABANG HAJI MATAHIR,JALAN MASJID BARU,96100,SARAWAK,SARIKEI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13240524,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) SU KWONG,KM 51/2 JALAN REPOK,96100,SARAWAK,SARIKEI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13240632,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN BANDAR SARIKEI,"PETI SURAT 228, 4KM OFF JALAN REPOK, 96107 SARIKEI, SARAWAK",96107,SARAWAK,SARIKEI,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH
21-13250188D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SELANGAU,"KM 80, JALAN SIBU/BINTULU",96000,SARAWAK,SELANGAU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13260195D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SIBURAN,"LOT 608, BLOCK 6, 17TH MILE, SIBURAN",94200,SARAWAK,SERIAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13050685D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SERIAN,"JALAN TANGGA BYPASS, BANDAR SERIAN",94700,SARAWAK,SERIAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13260586,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SERIAN,"BATU 2, JALAN SERIAN / SRI AMAN",94700,SARAWAK,SERIAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13110489,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) BERATOK,"BATU. 21, JALAN KUCHING-SERIAN",94200,SARAWAK,SERIAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13260626,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN SERIAN,JALAN LIMU,94700,SARAWAK,SERIAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH
21-13270636D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SIBU JAYA,JALAN BOULIEVARD SOUTH,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13270076D,KLINIK PERGIGIAN DI KLINIK KESIHATAN JALAN OYA,JALAN OYA,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13270075D,KLINIK PERGIGIAN DI KLINIK KESIHATAN LANANG,JALAN ULU LANANG,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
11-13270034D,KLINIK PERGIGIAN DI HOSPITAL SIBU,"BATU 5 1/2, JALAN ULU OYA",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
21-13270599,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ST RITA,JALAN BUKIT ASSEK,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270550,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN BATU 15,"KEM OYA, JALAN ULU OYA",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270548,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SIBU BANDARAN NO 3,JALAN BANDONG,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270547,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN PERBANDARAN SIBU NO. 4,"KM 2, JALAN OYA",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270546,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SIBU BANDARAN NO 2,"LORONG UBAH, JALAN LANANG",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270538,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ABANG ALI,JALAN KAMPUNG BARU,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270529,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) UK DAIK,JALAN BUKIT ASSEK,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270528,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) TUNG HUA,JALAN TUN ABANG HAJI OPENG,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270526,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) TAMAN RAJANG,JALAN SIMPOH,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270519,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) SACRED HEART CHINESE,JALAN BUKIT ASSEK,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270516,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) METHODIST,"NO 20, JALAN PULAU",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270512,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) GUONG ANN,JALAN SUNGAI MERAH,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270511,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) EK THEI,"JALAN EK DEE, OFF JALAN LANANG",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270507,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA,"NO 1, JALAN CROSS",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270486,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) DUNG SANG,BATU 2 1/2 JALAN OYA,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270484,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SACRED HEART,"KM 2, JALAN OYA",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13270625,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN SACRED HEART,BATU 1 1/2 JALAN OYA,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH
21-13270624,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN ROSLI DHOBY,JALAN DESHON,96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH
21-13270637D,KLINIK PERGIGIAN DI KLINIK KESIHATAN UTC SIBU,"SIBU CENTRAL MARKET MULTI STOREY CAR PARK, NO.2 JALAN BENGKEL",96000,SARAWAK,SIBU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI UTC
21-13280334,KLINIK PERGIGIAN SIMUNJAN,JALAN GUNUNG NGELI,94800,SARAWAK,SIMUNJAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE)
21-13280185D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SEBUYAU,D/A KLINIK KESIHATAN SEBUYAU,94300,SARAWAK,SIMUNJAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13280608,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN TUANKU BAGUS,KPG BARU,94800,SARAWAK,SIMUNJAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13280540,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ABANG MAN,"LOT 36, GEDONG-SEDILU LAND",94800,SARAWAK,SIMUNJAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13280506,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SIMUNJAN,SIMUNJAN BAZAAR,94800,SARAWAK,SIMUNJAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13040541,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ABANG KADIR GEDONG,KPG PERINTAH GEDONG,94800,SARAWAK,SIMUNJAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13290198D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SONG,JALAN TAKAN,96850,SARAWAK,SONG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13290556,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN CARDINAL VAUGHAN,JALAN MISSION,96850,SARAWAK,SONG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13290513,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) HIN HUA,JALAN TAKAN,96850,SARAWAK,SONG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13300200D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SRI AMAN,JALAN HOSPITAL,95000,SARAWAK,SRI AMAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-13300598,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ST LUKE,"P.O BOX 72, JALAN SABU, MUNGGU SABUN",95007,SARAWAK,SRI AMAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13300505,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SIMANGGANG,PO BOX 8 JALAN SABU,95007,SARAWAK,SRI AMAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13300487,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ABANG AING,JALAN RESAK,95007,SARAWAK,SRI AMAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-13300628,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN SIMANGGANG,P.O BOX 304,95008,SARAWAK,SRI AMAN,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH
21-13310606,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN TATAU,"KM 60, JALAN BINTULU- SIBU",97200,SARAWAK,TATAU,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10012307,KLINIK PERGIGIAN GOMBAK SETIA,"NO. 5A & 6A, JALAN KENANGAN UTAMA, TAMAN KENANGAN, GOMBAK SETIA",53100,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE)
21-10010776,KLINIK PAKAR PERGIGIAN ORTODONTIK RAWANG,"JALAN LEMBAH, COMMUNAL HOME, PUSAT KAWALAN KUSTA NEGARA, SUNGAI BULOH",47000,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE)
21-10010071D,KLINIK PERGIGIAN DI KLINIK KESIHATAN TAMAN EHSAN,"JALAN E 4/16, TAMAN EHSAN",51200,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10010068D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SUNGAI BULOH,"LOT 1853, KAMPUNG MELAYU",47000,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10010059D,KLINIK PERGIGIAN DI KLINIK KESIHATAN SELAYANG BARU,JALAN SUNGAI TUA MUKIM BATU,68100,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10010055D,KLINIK PERGIGIAN DI KLINIK KESIHATAN RAWANG,"RP5, RAWANG PERDANA 1",48500,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10010030D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BATU ARANG,JKR 6/1325,48100,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10010026D,KLINIK PERGIGIAN DI KLINIK KESIHATAN AU 2,"JALAN AU 2 A, TAMAN SRI KERAMAT",54200,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
11-10010233D,KLINIK PERGIGIAN DI HOSPITAL ORANG ASLI GOMBAK,"KM 24, JALAN PAHANG LAMA",53100,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
11-10010019D,KLINIK PERGIGIAN DI HOSPITAL SUNGAI BULOH,JALAN HOSPITAL,47000,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
11-10010017D,KLINIK PERGIGIAN DI HOSPITAL SELAYANG,LEBUHRAYA SELAYANG - KEPONG,68100,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
21-10010756,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN (1) SELAYANG BARU,"JALAN 45, SELAYANG BARU",68100,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10010752,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SINARAN BUDI,JALAN KUALA GARING,48000,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10010751,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) SELAYANG BARU,"JALAN 45, SELAYANG BARU",68100,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10010750,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) SAN YUK RAWANG,KAMPUNG KENANGA,48000,SELANGOR,GOMBAK,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040216,KLINIK PERGIGIAN KLANG,JALAN TENGKU KELANA,41000,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE)
21-10040249D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BANDAR BOTANIK,"BLOK B, JALAN LANGAT BANDAR BOTANIK",41200,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040053D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PULAU KETAM,"DEWAN JKKK, JALAN BESAR",42490,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040052D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PULAU INDAH,PULAU INDAH,42920,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040050D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PELABUHAN KLANG,JALAN LIMBONGAN,42000,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040048D,KLINIK PERGIGIAN DI KLINIK KESIHATAN PANDAMARAN,PERSIARAN RAJA MUDA MUSA,42000,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040047D,KLINIK PERGIGIAN DI KLINIK KESIHATAN MERU,"PT 55/61, JALAN KENANGAN, MERU",41050,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040044D,KLINIK PERGIGIAN DI KLINIK KESIHATAN ANIKA KLANG,"NO. 112, JALAN PEGAWAI, OFF TENGKU KELANA",41000,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040042D,KLINIK PERGIGIAN DI KLINIK KESIHATAN KAPAR,"PT 3763, SEK 1, BATU 10, JALAN KAPAR",42200,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10040033D,KLINIK PERGIGIAN DI KLINIK KESIHATAN BUKIT KUDA,JALAN BATU TIGA LAMA,41300,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
11-10040013D,KLINIK PERGIGIAN DI HOSPITAL TENGKU AMPUAN RAHIMAH KLANG,JALAN LANGAT,41200,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL
21-10040753,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN (1) JALAN MERU,JALAN MERU,41050,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040748,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) PANDAMARAN A,JALAN BESAR,42000,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040747,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SUNGAI BINJAI,"BATU 6, PEKAN MERU",41050,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040742,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN METHODIST,JALAN ORKID,42000,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040741,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) PANDAMARAN B,JALAN YOUNG PANDAMARAN,42000,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040740,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN TELOK GADONG,JALAN YADI,41250,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040738,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN RANTAU PANJANG,"JALAN GENTING, RANTAU PANJANG",42100,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040732,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH JENIS KEBANGSAAN (CINA) KONG HOE,"NO. 54, JALAN BATU TIGA",41300,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH
21-10040760,PUSAT PERGIGIAN SEKOLAH SIMPANG LIMA D/A SEKOLAH KEBANGSAAN (1) SIMPANG LIMA,PERSIARAN RAJA MUDA MUSA,41200,SELANGOR,KLANG,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH (PUSAT PERGIGIAN SEKOLAH)
21-10050076D,KLINIK PERGIGIAN DI KLINIK KESIHATAN TELUK PANGLIMA GARANG,TELUK PANGLIMA GARANG,42500,SELANGOR,KUALA LANGAT,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
21-10050075D,KLINIK PERGIGIAN DI KLINIK KESIHATAN TELOK DATOK,JALAN PEGAWAI,42700,SELANGOR,KUALA LANGAT,BUKA,AWAM,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN
